user,followers_count,friends_count,retweet_count,favorite_count,text
johnrobb,28475,1600,13,49,"“I won’t take the vaccine, because my friends and I just don’t want to follow any instructions or recommendations f… https://t.co/VeWs1iP1oj"
DwinnersCovi,172,464,0,0,@IanDunt Glad we seem to do better than the similarly afflicted European countries. Comparison to Vietnam Taiwan Ho… https://t.co/t54jFZNZQf
njstone9,3697,4417,0,0,"@Geoelte_Spinne Well yes, but HKers can read. And they can read that hundreds of millions of vaccine doses have bee… https://t.co/1AmfW9GyDS"
CajunCatsup,7769,6126,0,0,Hong Kong Is Testing Out a Vaccine Passport for Bars. Will It Boost Lackluster Vaccination Rates? https://t.co/M10c3wvVL5
AndrewPDuncan2,298,2287,5,0,"RT @NikkeiAsia: -- Singapore and Hong Kong defer plans to launch a bilateral travel bubble.
-- Taiwan reports 333 domestic cases.
-- Online…"
nogoodgods,968,1524,0,0,Are you proud of the government inviting 3.2 million ‘vaccine refusers’ from Hong Kong? https://t.co/4XezNNxHvW
Wandering_Shrew,782,1912,1,0,"RT @nogoodgods: According to this, the government have invited 3.2 million ‘vaccine refusers’ from Hong-Kong. How does that square with the…"
SwissNetInc,33864,34604,1,0,RT @swissbusiness: Hong Kong-Singapore travel bubble delayed again https://t.co/Fv74Wctvjv
BirdOwl,228,21,0,0,Hong Kong-Singapore travel bubble delayed again https://t.co/Ar25dVVfne via @CNN https://t.co/T1eNRVClSW
swissbusiness,89511,98516,1,0,Hong Kong-Singapore travel bubble delayed again https://t.co/Fv74Wctvjv
nogoodgods,968,1524,1,0,"According to this, the government have invited 3.2 million ‘vaccine refusers’ from Hong-Kong. How does that square… https://t.co/LhyRNvRXcF"
roshanmadhav4,777,3088,5,0,"RT @NikkeiAsia: -- Singapore and Hong Kong defer plans to launch a bilateral travel bubble.
-- Taiwan reports 333 domestic cases.
-- Online…"
eugenemulero,1589,1149,5,0,"RT @NikkeiAsia: -- Singapore and Hong Kong defer plans to launch a bilateral travel bubble.
-- Taiwan reports 333 domestic cases.
-- Online…"
sadasemb,2995,3226,5,0,"RT @NikkeiAsia: -- Singapore and Hong Kong defer plans to launch a bilateral travel bubble.
-- Taiwan reports 333 domestic cases.
-- Online…"
