index,Participant No.,Scene No.,Text Cond.,Audio Cond.,ROI category,Saccade Count,Total Saccade Distance,Average Saccade Distance,Total Saccade Duration,Average Saccade Duration
110,exp_15,Scene5,Off,On,Culturual  Heritage,12,2.2219469929040194,0.1851622494086683,3.7000000000000313,0.30833333333333596
111,exp_15,Scene5,Off,On,Others,168,36.137140830275044,0.21510202875163717,38.699999999999946,0.23035714285714254
112,exp_15,Scene5,Off,On,Tamed nature,2,0.18945423360797253,0.09472711680398627,0.2600000000000007,0.13000000000000034
113,exp_15,Scene5,Off,On,Urban,4,1.899767110576589,0.47494177764414724,2.4200000000000004,0.6050000000000001
114,exp_15,Scene6,On,Off,Culturual  Heritage,80,22.336143110111983,0.2792017888763998,25.91999999999998,0.32399999999999973
115,exp_15,Scene6,On,Off,Others,19,2.5467108865004144,0.13403741507896919,3.38,0.17789473684210524
116,exp_15,Scene6,On,Off,Text,116,30.88630507566645,0.266261250652297,30.18000000000003,0.26017241379310374
117,exp_15,Scene6,On,Off,Urban,13,0.9980390615667265,0.0767722355051328,1.1800000000000264,0.0907692307692328
118,exp_15,Scene7,On,On,Culturual  Heritage,192,24.705829801186837,0.12867619688118145,31.400000000000055,0.16354166666666695
119,exp_15,Scene7,On,On,Nature,1,0.10994607769265805,0.10994607769265805,0.21999999999999886,0.21999999999999886
120,exp_15,Scene7,On,On,Tamed nature,4,0.65994085064962,0.164985212662405,1.0799999999999983,0.2699999999999996
121,exp_15,Scene7,On,On,Text,38,10.6760122535971,0.28094769088413424,10.71999999999999,0.28210526315789447
122,exp_15,Scene8,Off,Off,Others,237,47.4601460127094,0.20025378064434346,46.4,0.19578059071729959
123,exp_15,Scene8,Off,Off,Tamed nature,1,0.0731347386677494,0.0731347386677494,1.0200000000000031,1.0200000000000031
124,exp_15,Scene8,Off,Off,Urban,17,3.7592520118192456,0.22113247128348504,4.859999999999993,0.2858823529411761
125,exp_16,Scene1,On,On,Culturual  Heritage,79,22.412401610240046,0.2837012862055702,21.78000000000002,0.2756962025316458
126,exp_16,Scene1,On,On,Others,5,0.8229073762946347,0.16458147525892694,0.5399999999999991,0.10799999999999983
127,exp_16,Scene1,On,On,Tamed nature,1,0.23472270874374299,0.23472270874374299,0.20000000000000284,0.20000000000000284
128,exp_16,Scene1,On,On,Text,175,39.63231817491631,0.22647038957095034,33.78000000000002,0.19302857142857155
129,exp_16,Scene1,On,On,Urban,3,0.7094975366767724,0.23649917889225747,0.7199999999999989,0.23999999999999963
130,exp_16,Scene2,Off,Off,Culturual  Heritage,133,36.875329785322926,0.2772581186866385,31.460000000000015,0.23654135338345875
131,exp_16,Scene2,Off,Off,Nature,67,11.465250398139222,0.17112314027073466,13.779999999999976,0.2056716417910444
132,exp_16,Scene2,Off,Off,Others,26,3.5499731921016973,0.1365374304654499,4.960000000000002,0.19076923076923083
133,exp_16,Scene2,Off,Off,Tamed nature,22,7.987873140364591,0.363085142743845,9.260000000000012,0.42090909090909145
134,exp_16,Scene3,Off,On,Culturual  Heritage,121,28.31449655179846,0.23400410373387157,19.239999999999956,0.15900826446280955
135,exp_16,Scene3,Off,On,Others,14,2.799267342080371,0.19994766729145508,2.6999999999999744,0.19285714285714103
136,exp_16,Scene3,Off,On,Tamed nature,27,6.910396627180257,0.25594061582149097,10.459999999999997,0.3874074074074073
137,exp_16,Scene3,Off,On,Urban,79,15.583137323735652,0.19725490283209687,19.760000000000016,0.2501265822784812
138,exp_16,Scene4,On,Off,Culturual  Heritage,42,6.650846429458004,0.15835348641566677,6.0800000000000285,0.14476190476190545
139,exp_16,Scene4,On,Off,Others,5,1.8753317712151947,0.3750663542430389,2.239999999999995,0.44799999999999895
140,exp_16,Scene4,On,Off,Tamed nature,20,7.209259813636322,0.3604629906818161,6.119999999999997,0.3059999999999999
141,exp_16,Scene4,On,Off,Text,179,40.29318538634217,0.22510159433710708,36.719999999999985,0.20513966480446919
142,exp_16,Scene4,On,Off,Urban,16,2.7052299913176507,0.16907687445735317,3.539999999999992,0.2212499999999995
143,exp_16,Scene5,Off,Off,Culturual  Heritage,111,16.243720999006253,0.14633982881987614,24.119999999999955,0.21729729729729688
144,exp_16,Scene5,Off,Off,Nature,8,3.366116053098348,0.4207645066372935,3.420000000000007,0.4275000000000009
145,exp_16,Scene5,Off,Off,Others,78,14.066810885864264,0.1803437293059521,12.88000000000001,0.16512820512820525
146,exp_16,Scene5,Off,Off,Tamed nature,17,4.313429182965736,0.2537311284097492,7.55999999999999,0.44470588235294056
147,exp_16,Scene5,Off,Off,Urban,17,7.220773415310725,0.4247513773712191,11.60000000000001,0.6823529411764712
148,exp_16,Scene6,Off,On,Culturual  Heritage,160,36.951122384688325,0.23094451490430204,52.50000000000002,0.3281250000000001
149,exp_16,Scene6,Off,On,Others,7,1.830758208840195,0.2615368869771707,1.3599999999999843,0.19428571428571204
150,exp_16,Scene6,Off,On,Tamed nature,26,6.520892186597369,0.2508035456383603,10.78000000000001,0.414615384615385
151,exp_16,Scene6,Off,On,Urban,1,0.28766489184466015,0.28766489184466015,1.1600000000000108,1.1600000000000108
152,exp_16,Scene7,On,Off,Culturual  Heritage,79,18.64903607230131,0.2360637477506495,13.259999999999955,0.16784810126582222
153,exp_16,Scene7,On,Off,Nature,1,0.5622326031101363,0.5622326031101363,0.35999999999999943,0.35999999999999943
154,exp_16,Scene7,On,Off,Others,6,2.3303838099972127,0.3883973016662021,3.8399999999999936,0.6399999999999989
155,exp_16,Scene7,On,Off,Tamed nature,1,0.5013530293116818,0.5013530293116818,0.8399999999999892,0.8399999999999892
156,exp_16,Scene7,On,Off,Text,193,32.89402442099284,0.17043535969426343,33.00000000000003,0.17098445595854936
157,exp_16,Scene8,On,On,Others,42,13.173451037436129,0.31365359612943167,10.959999999999997,0.2609523809523809
158,exp_16,Scene8,On,On,Text,224,43.987429208958616,0.19637245182570812,43.24000000000005,0.1930357142857145
159,exp_16,Scene8,On,On,Urban,5,0.902388586997054,0.18047771739941082,1.2799999999999971,0.25599999999999945
160,exp_17,Scene1,Off,Off,Culturual  Heritage,230,52.02365220250235,0.22618979218479282,54.640000000000015,0.2375652173913044
161,exp_17,Scene1,Off,Off,Tamed nature,3,0.9408067135741403,0.31360223785804675,0.7600000000000087,0.25333333333333624
162,exp_17,Scene1,Off,Off,Urban,16,3.830605527324928,0.239412845457808,8.640000000000013,0.5400000000000008
163,exp_17,Scene2,Off,On,Culturual  Heritage,102,29.4853989233334,0.28907253846405295,42.51999999999997,0.4168627450980389
164,exp_17,Scene2,Off,On,Nature,40,5.685062945615459,0.14212657364038647,13.899999999999977,0.3474999999999994
165,exp_17,Scene2,Off,On,Tamed nature,28,7.948340771714108,0.28386931327550385,12.979999999999997,0.46357142857142847
166,exp_17,Scene2,Off,On,Urban,5,0.8174628232110415,0.1634925646422083,3.8000000000000043,0.7600000000000009
167,exp_17,Scene3,On,Off,Culturual  Heritage,18,3.672321442449904,0.20401785791388355,8.999999999999995,0.4999999999999997
168,exp_17,Scene3,On,Off,Tamed nature,4,1.8504190092078643,0.46260475230196607,5.579999999999998,1.3949999999999996
