user,followers_count,friends_count,retweet_count,favorite_count,text
StephenDarori,613,4949,3,0,RT @Gil_Hoffman: #Pfizer tells @MaayanJaffe that @netanyahu didnt tell Israelis the truth: There are no plans to open a vaccine r&amp;d center…
thehiwaga,257,793,51,0,RT @xunnysideup_: @kasihirisleona gurl if israel yg buat vaccine tu don’t you think our government wouldve already taken action in the firs…
Amirah_Ahmad,685,612,13,0,"RT @farishaaakimi: Bugima punya orang...susah2 scientist islam lead research vaccine covid-19, last2 israel yang dapat nama🤣 https://t.co/1…"
CTSIan,1806,2414,4,0,"RT @AlastairMcA30: @naomirwolf @AlexBerenson Why do you persist in spreading misinformation about vaccines? In amplifying grifters?
People…"
UnitedHAcKtvist,3727,49,2944,0,"RT @HausofHilton: “In Israel, you’re 60 times more likely to have a covid vaccine than in Palestine “

They couldn’t even get proper access…"
shahzainnpk,23,30,5,3,Israel needs another dose of that vaccine  #SaveGazaFromZionists https://t.co/a4ZRuKxdFM
WtxNews,723,86,0,0,"Daily News Briefing 

UAE says it will offer Sinopharm booster shot for max protection
 
#UAE #UnitedArabEmirates… https://t.co/fXHquWE92H"
amvanila99,385,435,0,0,@aleyishe Israel pon useless mana buat vaccine. Ambek dari US je
_Linda_Styles_,76,261,0,0,"@DevauchelleBru1 @TPMP 31 % de vacciné en Suède
46 % en Floride

Avoir 1 jour a 0 mort ça ne sert a rien le Texas l… https://t.co/puDcOczTtg"
cheeriosche,117,70,51,0,RT @xunnysideup_: @kasihirisleona gurl if israel yg buat vaccine tu don’t you think our government wouldve already taken action in the firs…
JohnD91394640,790,340,1,0,RT @Ulla96491593: Israel Studying Possible Link Between Heart Inflammation and Pfizer/BioNTech COVID-19 Shot - The Vaccine Reaction https:/…
syira_ghaz,334,285,13,0,"RT @farishaaakimi: Bugima punya orang...susah2 scientist islam lead research vaccine covid-19, last2 israel yang dapat nama🤣 https://t.co/1…"
datudanial,295,241,0,0,Orang israel pula xnk ambik vaccine sebab dia kata ni semua agenda melayu https://t.co/3uYi46Fijv
